acid,SCN3,protein
PI274207,S,45.5
PI274582,,
PI306704B,,
PI307854,S,
PI307865,S,
PI307876A,,
PI307888B,,
PI307889C,,
PI317337,S,41.6
PI323560,S,46.5
PI355070S,,41.6
PI361071B,S,42.7
PI361116,S,46.4
PI378687B,,49
PI398202,S,46.8
PI398307,S,46.3
PI398399,S,45
PI398634,S,46.9
PI398723,S,46.9
PI398772,S,45.2
PI398985,S,45.2
PI399122,S,45
PI407099,S,46.6
PI407186,MS,54.6
PI407191,S,48.5
PI407795B,MS,45.8
PI407915,S,49.1
PI407916,S,45.7
PI407999-1,S,45
PI408095A,S,45
PI408304,MS,46.9
PI415072,S,45.3
PI417072,S,44.8
PI417115,MS,46.4
PI417128,S,45.2
PI417286,S,
PI417472C,,44.9
PI417502,S,42.9
PI423842,S,45.8
PI423982,S,41.4
PI423992,MS,42.9
PI424028,S,46.3
PI424248,S,46.6
PI424249E,S,46.1
PI424324B,MS,42.6
PI424376,S,41.7
PI424443,S,46.9
PI434975,S,
PI437079A,S,42.3
PI437150,S,43.3
PI437299,MS,41
PI437341,MS,41.7
PI437378C,MS,47.5
PI437441,S,44
PI437615A,S,45.3
PI437673,S,44.1
PI437690,,45.5
PI437721A,S,44.1
PI437863B,MS,41.6
PI437892,S,45.7
PI438015,S,43
PI438037,S,45.8
PI438058,S,45.1
PI438177,S,43
PI438250A,S,44.9
PI438252B,S,43.7
PI438355,S,42.2
PI438381,S,43.3
PI438438,S,44.2
PI442003B,S,48.8
PI442031,S,40.3
PI442041,MS,39.1
PI442045,MS,41.1
PI458091,S,48.2
PI458165,S,44.3
PI464890A,,46.5
PI467322B,MS,39.8
PI468916,,40.2
PI475815,S,41.5
PI476903,S,43
PI479744,,41.1
PI494181,S,46.5
PI495832,S,38.5
PI503333,S,41.6
PI504490,S,43.4
PI506737,S,44
PI506848,S,42.7
PI506860,S,42.8
PI506862,S,42.2
PI506928,S,43
PI507028,S,42.5
PI507069,S,47.1
PI507162,S,41.9
PI507222,S,43.9
PI507294B,S,40
PI507396,S,43.1
PI507406B,S,41.9
PI507452,S,43.4
PI507636,,45.2
PI507687B,S,43.9
PI507706,S,42.8
PI507723A,,45.6
PI507766,,40.5
PI509109,MS,43.6
PI522209B,,40.9
PI534645,,41.5
PI538403,S,44.3
PI543832,,44.1
PI547570,,
PI547787,,
PI548973,,46
PI549028,,44.5
PI549054,,44.1
PI561277,,46
PI561307,,43
PI561314A,,45.6
PI561329,,47.6
PI561344,,42.2
PI561347,,45.4
PI562561,,53.5
PI566991,,48.2
PI567102B,,46
PI567122C,,51
PI567175B,,44.3
PI567213A,,43.3
PI567299A,S,44.5
PI567368,MS,51.7
PI567545,S,47.6
PI567679B,,42.1
PI567686,MS,49.4
PI578329B,,41.3
PI578401B,,43.4
PI578436,,
PI578477C,,41.7
PI578482C,,50.7
PI578505,,39.9
PI583365,,41.5
PI587599,,47.8
PI587617,,46.7
PI587748,,46.2
PI587834,,42.8
PI587851C,,
PI587890A,,44.7
PI587900D,,47
PI592938,,41.5
PI592943,,44.2
PI594166,,42.2
PI594305,,51.9
PI594418B,,45.2
PI594419,,43.5
PI594430B,,45.4
PI594458B,,53.1
PI594464,,47.2
PI594579,,46.9
PI594663,,47.3
PI594675,,46.5
PI594728A,,
PI594743,,
PI594758B,,46.7
PI594758C,,47.1
PI594764,,
PI597407A,,39.4
PI597469,,47.2
PI603366,,39.5
PI603369,,41.5
PI603371,,51.3
PI603443B,,48.6
PI603490,,45.9
PI603519,,46.5
PI603626,,
PI603663,,48.2
PI603724E,,42.2
PI603768,,
PI605789B,,46.2
PI605800A,,
PI605826A,,44.2
PI605845B,,
PI605846B,,
PI605847,,
PI605856,,47.2
PI605877D,,47
PI605898,,
PI606380A,,
PI606390A,,43.7
PI612616,,42.7
PI612706A,,40
PI612720A,,44.1
PI612734,,
PI612761B,,45
PI615446,,
PI615458,,
PI615469,,
PI615489,,
PI615518,,
PI615555,,
PI628804,,
PI628843,,
PI631437,,
PI632639C,,
PI632652,,
PI632659,,
PI632939,,
PI639531,,
PI639547,,
PI647086,,
PI153291,S,38
PI153292,S,41.7
PI153293,MS,51.1
PI153294,S,37
PI153296,S,52.9
PI153297,S,51
PI153299,S,43.1
PI153300,S,38.3
PI153301,S,50.8
PI153302,S,50.7
PI153303,S,45.2
PI153304,S,40.6
PI153305,S,40.1
PI153306,S,39.1
PI153308,S,37.6
PI153309,S,41.4
PI153310,S,38.1
PI153311,S,36.2
PI153313,S,39
PI153314,S,47
PI153315,S,38.9
PI153316,S,38.8
PI153317,S,45.8
PI153318,S,40.3
PI153320,S,40.4
PI157409,S,42.8
PI157410,S,41.3
PI157414,S,44.6
PI157416,MS,41.6
PI157417,S,41.4
PI157419,S,42.3
PI157421,S,45.4
PI157424,S,44.4
PI157428,S,42.2
PI157429,S,43.9
PI157431,S,43.4
PI157434,S,41.4
PI157435,S,41.1
PI157436,S,42
PI157437,S,41.7
PI157438,S,43
PI157439,S,41.5
PI157441,S,43
PI157442,S,43
PI157445,S,43.4
PI157446,S,43.8
PI157447,S,41.4
PI157448,S,41.5
PI157449,S,41
PI159764,S,52.6
PI157453,S,41.9
PI157468,MS,40.2
PI184042,S,37.2
PI187150,S,42
PI248408,,41.1
PI243523,S,40.8
PI243551,S,41.6
PI248405,S,42.3
PI253663,MS,46.6
PI290123A,MS,41.3
PI261474,S,36.9
PI290114,S,42.2
PI290145,S,40.6
PI291296,S,45.6
PI317333,S,39.3
PI319537A,S,41.8
PI339865A,MS,45.4
PI347546B,S,44.8
PI347548,MS,41.1
PI347551,MS,44.2
PI347552A,S,43.4
PI347552B,,40.6
PI347552C,S,47.3
PI347554,S,41.3
PI347555,S,45.2
PI347556,S,40.2
PI347559A,S,39.8
PI347559B,S,41.6
PI347560,S,42.8
PI347561,S,44.5
PI347563A,S,41.7
PI347563B,S,41.4
PI347565A,S,46.5
PI347565B,S,40.9
PI347567,S,46.5
PI347568,S,40.3
PI347570,MS,40.6
PI358313,S,43.6
PI340034,S,43.6
PI361114,S,42.8
PI393999,S,44.7
PI398223,S,45.1
PI398261,S,44.3
PI393540,S,46
PI398320,S,45.2
PI398356,S,44.7
PI398406,MS,46.7
PI398416,S,40.7
PI398446,MS,47.4
PI398429,S,45
PI398495,S,44
PI398735,S,47.4
PI398763,S,45.1
PI398815,S,44.5
PI398903,S,47.7
PI398909,MS,46
PI398884,S,47.9
PI398888,MS,47.1
PI398975,MS,43.8
PI399004,S,42.4
PI404151,S,45.9
PI404174,MS,45.9
PI407712,S,44.3
PI407713,S,42.5
PI407959B,MS,44.3
PI408055B,S,45
PI408071,S,44.3
PI408132,S,45.1
PI408134A,S,44.8
PI408178,S,43.5
PI408214,S,46.1
PI416854,MS,44.1
PI416868A,S,47.8
PI416929,S,45.5
PI416971,S,42.6
PI416983,S,46
PI417142,S,45.1
PI417161,S,44.7
PI417017,S,43.9
PI417070,S,45.8
PI417274,S,47.5
PI417328,S,47.8
PI417448,S,48
PI417452,S,46.9
PI417456,S,43.8
PI417527,S,46.4
PI417454,S,43.8
PI417487,S,48.2
PI417524,S,43.9
PI417544B,S,42.8
PI417548,S,43.3
PI417573,S,43.4
PI423744,S,43.6
PI423729,MS,42.7
PI423866,S,48
PI423837A,S,47.6
PI423892,MS,46.4
PI423910,S,43.8
PI423948A,S,49.9
PI423974,S,43.6
PI424198,MS,40.4
PI423977,S,42
PI424169A,S,43.1
PI424177,S,45.2
PI424179A,S,46.4
PI424190,MS,40.1
PI424191,S,39.9
PI424192B,S,44.9
PI424196,S,39.8
PI424197,MS,40.6
PI424217B,S,42.4
PI424219B,S,45.4
PI424247B,S,47.5
PI424264,S,45.5
PI424270A,S,44.5
PI424253,MS,42.6
PI424298,MS,43.2
PI424307,S,43.1
PI424335B,S,44.3
PI424349C,S,45.8
PI424395,S,45.3
PI424499A,S,46.8
PI436682,S,41.4
PI437078A,S,42.3
PI437088B,MS,43
PI430460A,S,42.8
PI437104,MS,45.3
PI437113,MS,42.3
PI437118A,S,42.9
PI437132B,S,41.2
PI437159,S,42
PI437140,MS,42.8
PI437158,S,43.2
PI437177,S,41
PI437188,MS,42.4
PI437223B,MS,43.5
PI437237,MS,40.8
PI437261C,S,41.6
PI437200A,MS,44.3
PI437200B,MS,43.6
PI437201,S,43
PI437202,S,41.2
PI437203,MS,42.6
PI437204,MS,40.6
PI437205A,MS,40.4
PI437205B,S,40.7
PI437206,S,40.9
PI437207,MS,43.3
PI437208,S,40.8
PI437209,S,39.1
PI437210,S,40.8
PI437211A,MS,41.3
PI437211B,MS,38.8
PI437212,MS,40.4
PI437213,MS,43.9
PI437214,S,41.5
PI437215,MS,39
PI437216,S,39.7
PI437217,S,40.6
PI437218,S,40.3
PI437219,MS,40.6
PI437220,MS,41.2
PI437184,S,44
PI437228,S,41.2
PI437251A,S,41.9
PI437265B,MS,40.1
PI437283,MS,41.7
PI437304,MS,39.9
PI437319,S,45.1
PI437344A,MS,43.9
PI437346,S,43.8
PI437427A,S,45.7
PI437459,S,44.2
PI437467,S,46.4
PI437472,S,41.9
PI437491,S,43.5
PI437435,S,45.2
PI437458A,S,43.8
PI437488,,45
PI437500B,S,43.5
PI437501B,S,43.9
PI437502,S,44
PI437560,S,44.5
PI437576,S,43.1
PI437580,MS,44.5
PI437596,S,44.4
PI437597B,S,42.3
PI437635E,MS,44.6
PI437645A,S,43.2
PI437685D,S,44.6
PI437740A,S,44.7
PI437787,S,45.8
PI437810,MS,44.4
PI437858,S,43.9
PI437840B,S,42.8
PI437870,MS,42.7
PI437887B,S,42.3
PI437888B,MS,43.1
PI437891,S,46.4
PI437901,S,42.3
PI437902A,S,45.9
PI437902B,MS,44.5
PI437902C,S,46.6
PI437902D,S,44.6
PI437903,S,39.4
PI437904,S,41
PI437905,S,45.7
PI437906,S,42.4
PI437907,MS,42.4
PI437908,S,41.4
PI437909A,S,42.4
PI437909B,S,43.3
PI437910A,MS,43.8
PI437910B,MS,44.2
PI437910C,MS,45.4
PI437911,S,45.3
PI437912,S,43
PI437913,MS,44.3
PI437914,S,46.3
PI437915A,S,44.5
PI437915B,S,42.7
PI437916,S,48.9
PI437917,MS,42.8
PI437918,MS,46.2
PI437919,S,43.2
PI437920A,MS,41.8
PI437920B,S,38.3
PI437943,S,45.6
PI437944,S,44.5
PI437945A,S,45.8
PI437945B,S,41.5
PI437946A,S,43.5
PI437946B,S,46
PI437947,S,45.7
PI437948,S,44.1
PI437949,S,45
PI437950,S,47.7
PI437951,S,45.2
PI437952,S,43.8
PI437953A,S,46.2
PI437953B,S,43.9
PI437954,S,43
PI437955A,S,44.5
PI437955B,S,43.1
PI437956A,S,45.5
PI437956B,S,46.1
PI437957A,S,43.6
PI437957B,S,46.3
PI437958,S,45.1
PI437959,S,43.3
PI437960,S,42.7
PI437961,S,45.4
PI437962,S,44
PI437963,MS,44.3
PI437964A,S,44.5
PI437964B,S,44.6
PI437965,S,43.7
PI437966,S,42.9
PI437967,MS,46.7
PI437968,MS,42.3
PI437969,MS,43.5
PI437970,MS,45.4
PI437971,S,45.4
PI437972,S,43.7
PI437973,S,42.5
PI437974A,MS,41
PI437974B,S,44.2
PI437975A,S,46
PI437975B,MS,43.7
PI437977,MS,42.9
PI437978,MS,41.3
PI438036,S,44.6
PI438059,S,46.6
PI437988,MS,43.6
PI437991A,MS,43.3
PI438082,MS,44.5
PI438083,MS,44
PI438084,S,41.4
PI438085,MS,41.8
PI438086,MS,44.3
PI438087,MS,47.2
PI438088,MS,46.9
PI438089,MS,45.1
PI438090,S,45.1
PI438091,S,44
PI438092,S,45.9
PI438093,S,42.3
PI438094A,MS,43.2
PI438094B,MS,42.9
PI438095,,42.5
PI438096,MS,42.9
PI438097,S,45.6
PI438098,S,42.6
PI438099,MS,46.1
PI438100,S,45.5
PI438101,S,43.6
PI438102,S,44
PI438103,MS,43.1
PI438104,MS,44.4
PI438105A,MS,47.3
PI438105B,MS,43
PI438106,S,43
PI438107,S,43.6
PI438108,S,43
PI438109A,S,42.9
PI438109B,MS,43.2
PI438109C,S,43.1
PI438110,S,46.3
PI438111A,MS,43.8
PI438111B,S,43
PI438112A,MS,44
PI438112B,S,42.8
PI438113,S,46.5
PI438114,MS,45.1
PI438115,S,44.1
PI438116,MS,46.1
PI438117,MS,42
PI438118,MS,42.9
PI438119,MS,46
PI438120,MS,44.4
PI438121,MS,44.9
PI438122,S,46
PI438123A,MS,43.3
PI438135,S,42.7
PI438129,MS,42.2
PI438182,MS,43.6
PI438148,S,41.5
PI438155,S,42.5
PI438160B,S,42.6
PI438170,S,43.3
PI438181B,MS,44.5
PI438188,S,40.8
PI438202,MS,43.3
PI438217,MS,44.2
PI438222,S,42.5
PI438239B,MS,43.6
PI438256A,S,44.6
PI438259B,MS,41.4
PI438271A,MS,40.5
PI438277,S,44.3
PI438245,S,43.8
PI438353,MS,41.5
PI438420,S,42.9
PI438466,S,41.3
PI438467,MS,44.7
PI438474,MS,38.8
PI438470,MS,41.3
PI438478,S,41.5
PI445803,MS,37.9
PI445816B,S,44.1
PI445819,MS,44.9
PI445820A,MS,43
PI445824B,S,40.4
PI458063,S,44.1
PI458148,S,44.4
PI458172A,MS,43.3
PI458233,MS,44.4
PI458231,MS,43.6
PI458519B,MS,40.2
PI466749B,S,40.6
PI467323A,MS,40.5
PI467344,S,41.7
PI468919,,45.3
PI468920,MS,43.5
PI468921,S,38.7
PI468922,S,42.9
PI468923,MS,42.9
PI470221,S,39.4
PI470222,S,40
PI470223,S,41.2
PI470224,S,40.1
PI470225,S,41.3
PI470226,S,41.8
PI470227A,S,41.6
PI470929,S,41.8
PI471899,S,41.5
PI473572,S,41.2
PI473573,S,40.8
PI475783A,S,40.9
PI475783B,S,43.8
PI475784,S,41.5
PI475785,S,40.4
PI475810,S,42
PI475811B,S,42.1
PI475812A,S,42.1
PI475812B,S,42.5
PI475813A,S,40.9
PI475813B,S,41.1
PI475814,S,41.6
PI475816,S,38.8
PI475817,S,42.2
PI475818,S,40
PI475819,S,41.9
PI475820,S,42.7
PI475821,S,44.2
PI475822A,S,42.3
PI475822B,S,42.2
PI475822C,S,44.2
PI475823,S,42.5
PI475824A,S,42.1
PI475824B,S,40.4
PI475825,S,41.9
PI475826,S,40.7
PI475827,S,39.9
PI475828,S,39.3
PI475829A,S,43.4
PI475829B,S,43.3
PI475830,S,40.7
PI475831,S,39.5
PI476344,S,40.9
PI476345,S,39.9
PI476347,S,39.6
PI476348,S,42.5
PI476349,S,40.4
PI476350A,S,42.3
PI476350B,S,41.2
PI476350C,S,42.2
PI476351,S,41.7
PI476352A,S,39.5
PI476352B,S,40.9
PI476352C,S,39.2
PI476880,S,43.5
PI476881,S,43.8
PI476887,S,43.9
PI476899,S,43.8
PI476911,S,42.6
PI476914,S,44.6
PI476922,S,41.7
PI476936,S,42.6
PI476939,S,45
PI476942,S,42
PI479709,S,42.9
PI479710,S,42.8
PI479711,S,41.2
PI479712,S,44.4
PI479713,S,40.7
PI479714,S,39.3
PI479715,S,41.8
PI479716,MS,42
PI479717,S,41.4
PI479718A,S,42
PI479718B,S,40.4
PI479719,S,39
PI479720,S,41
PI479721,S,40.6
PI479722,S,40.6
PI479723,S,43
PI479724A,S,42.5
PI479724B,S,42.2
PI479725A,S,41.5
PI479725B,S,39.9
PI479726,S,41.4
PI479727,S,38.6
PI479728A,S,43.6
PI479728B,S,42.1
PI479729,S,42.1
PI504498,S,42.7
PI506523,S,43.1
PI479740,S,38.2
PI494526,S,39.3
PI495017B,S,46.5
PI495020,S,44.5
PI499957,S,43.7
PI503339B,S,43.6
PI504480,S,46
PI504483A,S,42.5
PI504485,S,44.4
PI504487,S,41.5
PI504489,S,44.7
PI504504,S,41.5
PI504509,S,43.8
PI506525,S,41.6
PI506529,S,41.8
PI506563,S,40.3
PI506771,S,43
PI506527,S,42.4
PI506609,S,41.3
PI506610,S,43.8
PI506634,S,44.8
PI506637,S,42.8
PI506697,S,47.9
PI506701,S,41.3
PI506705,S,44.7
PI506733A,S,43.3
PI506942,S,40.7
PI506945,S,42.2
PI506973,S,43.1
PI506993,S,43
PI506838B,MS,40.7
PI506853,S,44.2
PI506901,S,40.4
PI506998,S,40.7
PI507026,S,40.4
PI507065,S,44.6
PI507082A,S,41.5
PI507082B,S,40.8
PI507133,S,45
PI507184A,S,41.7
PI507189A,S,44
PI507189B,S,44.7
PI507022,S,43.1
PI507094,S,43
PI507107,S,44.9
PI507155,S,40.5
PI507190,S,42.7
PI507200,S,40.5
PI507221,S,43.3
PI507280,S,41.8
PI507320A,S,43.5
PI507320B,S,43.6
PI507325,S,43.1
PI507332,S,43.7
PI507353,S,40.7
PI507354,,38.8
PI507365,S,41.2
PI507367,S,42.6
PI507370,S,41.5
PI507379,S,41.3
PI507390,S,41
PI507213,S,42.9
PI507226A,S,42.3
PI507244,S,41.8
PI507309,S,43.1
PI507341,S,43.6
PI507404,S,43
PI507419,S,41.1
PI507430,S,36.8
PI507432,S,43.7
PI507443,,42.7
PI507458,,42.6
PI507467,S,41.9
PI507480,S,44.1
PI507481,S,42.4
PI507483,S,43.6
PI507487,S,42.1
PI507491,S,40.6
PI507492,S,42
PI507502,S,43.6
PI507515,S,43.7
PI507519,S,42.5
PI507520,S,45.1
PI507521,S,41.6
PI507525A,S,41.2
PI507526,S,44.3
PI507530,S,42.1
PI507540,S,42.1
PI507543,S,39
PI507548,S,44.5
PI507552,S,41.2
PI507564,S,42.8
PI507565,S,48.5
PI507569,S,46.5
PI507670,S,43.2
PI507408,S,41
PI507472,S,43.4
PI507493,S,44.3
PI507500,S,41.7
PI507672,S,42.7
PI507674,S,43.6
PI507675,S,42.7
PI507676,S,43.8
PI507677,S,44.7
PI507678,S,43.3
PI507681A,S,41.2
PI507685B,S,43.8
PI507686A,S,42.7
PI507686B,MS,42.5
PI507686C,,43
PI507688,S,41.9
PI507689,S,44.6
PI507691,S,42.8
PI507694,S,41.9
PI507698,S,44.4
PI507704A,MS,44.5
PI507709,S,45.5
PI507710,S,44.3
PI507713,S,
PI507714,S,41.3
PI507716,S,42.9
PI507717,S,46.1
PI507718B,S,49.5
PI508296E,S,51.1
PI509075,S,48.3
PI509083,S,47.8
PI509087,S,46.2
PI509107,S,46.9
PI511867,S,41.1
PI511869,S,41.3
PI512322A,MS,43
PI512322B,S,47.5
PI512322D,,43.1
PI512323,S,43.6
PI512324,S,43.5
PI514671,S,47.5
PI518291C,S,42.3
PI507679A,S,44
PI507715A,S,45.1
PI507718A,S,44.3
PI509079,S,46.4
PI509112,S,42.1
PI518706B,S,42.6
PI518706C,S,45.5
PI518711,S,44.3
PI518712,S,41.1
PI518719,S,47.2
PI518754,S,44.3
PI518833,S,44.3
PI522190,,48.2
PI525492,,42.8
PI532439,S,46.1
PI532444B,MS,42.1
PI532455A,S,48.7
PI532460B,S,45.3
PI532465,S,47.2
PI532471,S,43
PI536547A,S,45.1
PI538375,MS,42.1
PI538382,S,41.2
PI538387,S,44.7
PI518718A,S,42.4
PI518718B,S,45.2
PI518750,S,42.7
PI518757,S,42.1
PI522186,,44.1
PI522188A,MS,44.2
PI532441A,S,48.6
PI532463B,S,45.6
PI532473,S,43.3
PI538381,S,49
PI538388,S,42
PI538389,S,45.3
PI538390,S,45.9
PI538391,S,42.8
PI538392,S,46.8
PI538393,S,41.6
PI538395,S,42
PI538397,S,43.4
PI538406,,40.6
PI538409,S,41.8
PI538410B,S,40.2
PI540739,S,45.8
PI549017,,42.1
PI549021A,,45.5
PI549027A,,47.8
PI549029,,46.6
PI549030A,,42.1
PI549030B,,45.4
PI549031,,41.1
PI549040,,42.1
PI549043,,42.1
PI549051B,,42.6
PI549057A,,42.9
PI549058,,42.6
PI549060,,42.4
PI549061,,44.4
PI549063,,42.3
PI549064,,42.4
PI549066,,44.5
PI549067,,43.8
PI549070,,43
PI549071,,39.4
PI549072,,42.2
PI549073,,42
PI549074,,41.2
PI549075,,41.4
PI549076B,,42.3
PI549077,,42.2
PI549078,,43.2
PI549080,,43.7
PI556948,,45.7
PI556949,,38
PI556950,,46.2
PI561227,,42.7
PI561228,,43.5
PI561233A,,40.3
PI561234,,43.7
PI561235,,44
PI561236,,42.4
PI561237,,41.7
PI561242,,41.4
PI561272,,43.4
PI561273,,44.7
PI561274,,43.1
PI561275,,45.2
PI561278A,,42.8
PI561278B,,43.5
PI538400,S,47.3
PI567228,,43.2
PI567296B,S,43.3
PI567362B,S,46.3
PI567363A,S,48.7
PI567369A,S,49.4
PI567369B,S,48.5
PI567505,S,44.9
PI567506,S,46.2
PI567452,S,43.5
PI567473C,S,44.7
PI567514B,S,48.7
PI567515,S,46
PI567516A,S,45.5
PI567555,MS,47.4
PI567580B,S,47
PI567599,S,49
PI567610A,S,48.3
PI567650C,,42.7
PI567651,S,48.8
PI567653,S,47.1
PI567654,S,47.3
PI567717B,,47.4
PI567762C,S,45
PI578381,,44
PI578395,,42.2
PI578492,,40.7
PI588015A,,44.3
PI592918,,41
PI593939,,42.1
PI593942,,39.9
PI588033D,,45
PI588052B,,45.8
PI592950,,40.2
PI593951,,40.2
PI593953,,38.4
PI593956E,,40.7
PI593957,,41.8
PI593958,,41.3
PI593959,,40.2
PI593960,,37.8
PI593961,,43.2
PI593963,,40.5
PI593966,,42.1
PI594227A,,42.3
PI594280B,,39.7
PI594280E,,41.4
PI594282,,42.4
PI594020,,43.2
PI594308,,43.7
PI594394,,41.6
PI594398A,,39.3
PI594398B,,40.4
PI594399A,,39.4
PI594402,,43.9
PI594404,,41.9
PI594405,,42.2
PI594439A,,40
PI594443,,44.7
PI594457A,,49.8
PI594459,,41.7
PI594486B,,43.5
PI594395,,
PI594453,,44.6
PI594578,,43.4
PI594625,,47.8
PI594635B,,44.3
PI594802B,,42.2
PI594804,,44
PI594593,,40.1
PI594599,,44.7
PI594601,,41.4
PI594603B,,44.4
PI594604,,47.3
PI594606,,42.8
PI594778,,47.1
PI594900B,,42.5
PI597432,,38.3
PI597435,,41.3
PI597440A,,41.2
PI597443,,40.7
PI597475A,,42
PI597487,,44.8
PI603152,,
PI603293A,,41
PI603311,,37.7
PI603323,,40
PI602501,,42.2
PI603334,,40.6
PI603335B,,40.4
PI603336,,46.9
PI603350,,39.8
PI603362,,39.3
PI603367,,40
PI603373,,49.1
PI603378B,,40.2
PI603387,,44.2
PI603343A,,
PI603359,,43.1
PI603417,,42.1
PI603418D,,44.5
PI603430B,,42.4
PI603547,,45.1
PI603515,,47.4
PI603563B,,44.7
PI603573A,,41.6
PI603575,,42.1
PI603594,,44.9
PI603706B,,44.5
PI603711A,,47
PI603743B,,42.7
PI603748,,42.1
PI603753A,,45.4
PI605815,,
PI605819B,,
PI605827A,,44.1
PI605840E,,46.6
PI605837B,,43.3
PI605842B,,
PI605845A,,
PI605846F,,47.8
PI605872,,45.8
PI605876E,,45.9
PI605881,,
PI605897B,,
PI606363,,
PI606374,,
PI606379,,
PI606380B,,
PI606382B,,46.6
PI606392,,
PI606395,,
PI606417,,
PI606429,,
PI606378,,
PI606398,,
PI606434,,
PI612620,,
PI612708A,,39.6
PI612724,,36.2
PI612752,,48.9
PI613559B,,
PI639542A,,
PI639555B,,
PI639632C,,
PI615494,,
PI632642,,
PI632661B,,
PI639554,,
PI123439,MS,51.6
PI157484,S,43.2
PI165675,S,48.4
PI166141,S,44.9
PI170886,MS,45.9
PI170899,MS,43.7
PI174861,S,47.4
PI174862,S,48.3
PI174854,S,44.7
PI174858,S,46.5
PI174865,S,
PI192867,S,44.7
PI200506,S,47
PI200527,S,46.1
PI205915,S,46.1
PI203399,S,47.4
PI253657,S,48.2
PI269518B,,44.8
PI269518C,,43.3
PI253662,S,46.7
PI263044,S,46.7
PI315701,MS,40.6
PI319526,MS,49
PI322689,S,43.3
PI323561,S,46.7
PI323564,S,45.6
PI323572,S,46
PI274508,S,50.4
PI279081,S,42.4
PI319533,S,49.1
PI339988,MS,46
PI339999,S,44.7
PI340004,S,47.7
PI340009,S,45.1
PI340013,S,44.5
PI340045,S,45
PI340050,S,44.5
PI340051,MS,44.2
PI342003,S,44
PI342434,MS,52.1
PI346298,S,43.5
PI346300,S,49.3
PI346302,S,47.3
PI346306,S,43.9
PI374219,S,42.3
PI376845,S,44.8
PI377576,S,48.7
PI341264,S,45.9
PI374162,S,45.5
PI377577,S,44.7
PI381662,S,44.6
PI381685,S,44.6
PI398213,S,44.5
PI398218,S,47.1
PI398255,S,46.4
PI398259,S,43.1
PI398269,S,45.7
PI398308,S,47.2
PI378693A,MS,51.9
PI393549,MS,46.3
PI398279,,45.6
PI398324,S,48.4
PI398381,S,44.5
PI398400,S,44.6
PI398436,S,50.5
PI398483,S,42
PI398309,S,48.7
PI398477,S,48.1
PI398496,S,45
PI398500,S,42.4
PI398533,,42.9
PI398541,S,46.9
PI398547,S,48
PI398548,S,46
PI398563,,48.5
PI398597,MS,52
PI398896,S,51.2
PI399044,MS,41.7
PI399081,S,44.7
PI399109,S,46.6
PI407792,S,48.3
PI407880,S,44.7
PI407950-1,S,47.6
PI407968,S,47
PI407997,S,47.4
PI407999-2,S,49.1
PI408038,S,46.4
PI408059,S,52.1
PI408060,S,44.5
PI408061,S,46.2
PI408076C,S,46
PI407941A,,43.2
PI407942,S,47.8
PI407969,MS,43.3
PI407970,S,44
PI407975B,MS,45.6
PI407984,S,46.3
PI408046,S,48.4
PI408084C,S,45.8
PI408087,S,46.9
PI408094-2,S,43.8
PI408141,S,44
PI408153,S,45.6
PI408193,S,
PI408139,S,44.1
PI408246-1,S,50
PI408254,S,44.5
PI408313,S,48.8
PI408343,S,46.8
PI416803,S,47.1
PI416827,S,47.9
PI416935,S,44.1
PI417038,S,43
